,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
국어,0.0026745359160298314,0.005662215917810373,0.007201515516453398,0.006765973430549878
친구,0.005045846289489207,0.004961878060319038,0.006500589671618063,0.007175673537181918
요구,0.0053672337566225675,0.007160902310787075,0.005506035840206627,0.004060441792305106
세계,0.007153300680363865,0.005766218717649981,0.005190339915694715,0.0033657721580865035
선생,0.0071526276383121435,0.006905038009435442,0.0055712072401890985,0.006036802612237378
처분,0.0038881903511356385,0.00710847988086199,0.0026124233599550974,0.0023577225047538767
자율,0.0012631207804444165,0.007074647453677388,0.004008121943502364,0.0036892852895740466
감소,0.005617991597829167,0.003992347571701719,0.003965813368246138,0.0070300750081410245
취소,0.006975894369326995,0.004564425593220321,0.00494528754647952,0.0070231193634421535
황금,0.0007490838823437598,0.0006163326713404495,0.0012033601352360783,0.0070174729630314275
재정,0.006964968875280626,0.003520152889051554,0.004016016850945375,0.0035122069154791113
강화,0.006946010519804746,0.00403779051429953,0.003854758285273038,0.0033158046767500808
현역,0.003612543732935081,0.0031498361688115433,0.006020686337844287,0.006939523315068532
자연,0.004947494609927702,0.00495769794043664,0.006301924644957792,0.006934086083792711
현상,0.006898645971341572,0.0035799049207807052,0.003629382820520006,0.004458727304340151
인기,0.006893314198798742,0.003725979469311982,0.003380918883152004,0.0029956681803263168
생기부,0.000592077245440219,0.0011268541149035754,0.00169202119322184,0.006872833672195995
제도,0.006855368897718552,0.0052935237176342555,0.005142827275136665,0.005104403655204886
최대,0.006834815354397062,0.004891108477162305,0.004423045339525696,0.0051368508472913405
추천,0.0035878424482329364,0.00556949326990668,0.006834298866886407,0.006204564020118942
사고,0.0068005376759860394,0.003933460057179927,0.004307846458199693,0.002596923578359737
반도체,0.006797639859440205,0.004844687235123848,0.00446748459402593,0.0033882735170265342
추석,9.051132276247553e-05,4.033757998516283e-05,0.006796579037482207,5.1524975338363435e-05
연세대,0.004175482595836867,0.00434602346550909,0.005308921644455242,0.006791426635661955
갈등,0.005464199238802776,0.006788058743711163,0.005804174132886338,0.005654133939019798
고대,0.001320578122601498,0.001257629502084615,0.004053119224393146,0.006787546743901211
표현,0.0026837482294320876,0.004112606710094023,0.005067744788389498,0.006781789253462807
기회,0.005956738293252041,0.006365859851396502,0.0067709203334406585,0.004924727923185812
조정,0.006126687189100456,0.0067531123353565,0.0046405614778328354,0.003917056060329276
판단,0.0045585032567852304,0.006751749192133477,0.004651124374636881,0.005396184786019594
전망,0.006454835285499944,0.00669206165709309,0.004565665633650448,0.005036475653857098
민주당,0.005377450663216544,0.006598371210929056,0.006181774740270187,0.00647727836231116
