,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
자료,0.005945793621380848,0.010029660455303716,0.0070596785932751606,0.009392862339672545
근무,0.010027314864332464,0.004286571470494037,0.003457082059710931,0.002901112712636672
계열,0.006658304875355892,0.008418250401728698,0.008986035263295713,0.009957305293272921
과탐,0.0018331105136522533,0.003354945890279981,0.005780711460456015,0.00988921341832241
진학,0.007368047151098392,0.009808145510800137,0.007268528800967946,0.007684037544424558
신입,0.0036368594710388625,0.005040529734300243,0.0056717822233974214,0.009787290748891782
기업,0.009745865048071607,0.006679582941425145,0.005644255077739414,0.005807242827598951
직업,0.009720790510546721,0.004828827751453922,0.004129934332248833,0.0038746048689593435
인증,0.0014452756010412667,0.00294921143971775,0.006542439517559126,0.009718003660712383
학부모,0.006327802294346551,0.008373253155162368,0.008420265301546093,0.009707436816629588
주장,0.009664691151133921,0.007471551981828671,0.005716270668832133,0.004624394533925831
소아과,0.00965758931845373,0.0028440199702819955,0.0016129653635496754,0.0017144882538708303
탄핵,0.0011109417523140204,0.00278586886523193,0.005569945352289549,0.00961841894671559
치료,0.009594373154455946,0.005924257173659858,0.006269716128038593,0.004446619937857266
대책,0.009564212301096766,0.006425804636973926,0.005683845527931752,0.0031325671537207034
서비스,0.009471982976193366,0.0054872034073974105,0.004241386882904083,0.0024091838671392403
접수,0.0017969634411636828,0.0028674021009054557,0.009448789085660922,0.002386665095397436
반영,0.00398293433660866,0.007523782185295546,0.006216772112808075,0.00936338271368074
변화,0.00747425980122033,0.008908858799677927,0.008873761457323468,0.009360559017162219
급여,0.009329524538529203,0.003506641587778243,0.003069796674292478,0.0035687568628504415
등록,0.004415869680237726,0.0022980532248578177,0.0056547229290997035,0.009319085513426053
활동,0.004926075127965602,0.005244638984779608,0.0060211498386156135,0.009296115664146525
이용,0.007884643537291135,0.006221953212413642,0.0072006830107527965,0.009295711713459226
공대,0.00796009268012374,0.0031885250999995262,0.005960334414339958,0.009248009105293114
전략,0.005011507692704808,0.008787834057170827,0.00813336815197165,0.009245803121701063
이공,0.009235130673217282,0.005630913224981637,0.00309997152554692,0.006078337776123818
추진,0.009225401385606924,0.006914929247795117,0.005236068503929507,0.005094632948224034
종합,0.007019441486438998,0.007940057514397976,0.009219709070755436,0.006140340051827746
수생,0.002350699253546976,0.004441546780377319,0.005908806988628163,0.009129895630940838
학생부,0.0034362022033211973,0.008101485106994839,0.009110898582644973,0.007602962793081804
제출,0.009107490856809251,0.008513883306001488,0.0031052216239362933,0.0022257489525569674
재생,0.006251648041190364,0.009063104548911943,0.005770664333697542,0.002445594345890141
학습,0.0031677169395552657,0.005985571627031019,0.008922828817695044,0.0034869076825916234
집단행동,0.008915408158167387,0.0021934141847578426,0.0008606962900477699,0.0005689537751348486
조사,0.00889939384662316,0.0058067020916882485,0.005034454388349118,0.0041946619367607425
걱정,0.008859618123832956,0.007347901897875479,0.008207515360484495,0.0087610485021909
숫자,0.008844446791211694,0.006402874874974507,0.003716507098007036,0.004118442928155496
경제,0.008840898591418695,0.007922459588328086,0.006622710329756688,0.00675232151403041
학종,0.0018764461977480687,0.0050146183957963195,0.007043869872358677,0.0088364885591076
생명,0.00876732567046285,0.005125879675341571,0.006210554057385345,0.004214782916744627
사탐,0.0014259619440790267,0.0032066540386574026,0.00466224042449081,0.008760856275031951
공유,0.004625137722894301,0.004799834231056022,0.0058516638583587495,0.008746794996323689
유급,0.002771660892130754,0.0042864929314679456,0.00503231276355353,0.008739466390088876
대응,0.008729258613820593,0.004063706760251454,0.003279701979964442,0.0037020374180915176
동결,0.0023578053954699967,0.001753356421125303,0.0009549446086110704,0.008643714301801886
이슈,0.008627282323538167,0.0064048303700330236,0.006686791373212661,0.005717496854089346
말씀,0.006730712638925237,0.006227134176170624,0.007385439665960883,0.008595061123516455
업무,0.00849052639136965,0.0032690280415117734,0.003367107305629033,0.0016428596049454934
대한민국,0.00847447324007271,0.005912434420204192,0.006019332699779131,0.005122448880771564
논의,0.0077817837588332285,0.008469853689095148,0.007356535189010527,0.0047207278429925005
공공,0.007739666363813732,0.004788077080336996,0.005714546762241193,0.008468735917110701
선배,0.0022713703197430267,0.001371655471174101,0.0023486550746053044,0.008450038461639301
대화,0.008420174431518256,0.005806477235442647,0.003650171607956678,0.0022544177338739923
거부,0.004876362991647435,0.004831088939819845,0.0055809363740726035,0.008398042926397151
일본,0.008383611866889074,0.005509168921446797,0.004513125700440242,0.002647372599816534
