topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,section,date,title
0.520921222177772,0.11480342068818263,0.02452206149657306,0.3390555305464963,0.0006977650909760674,0,1,2024-03-18,LG와 삼성 보안 전문가 르노코리아 정부 물가 상승 안정자금 투입 민주노총 내부갈등 반도체 업황 회복에도 실물경제 체감 둔화 의대 교수 주한 미국상의 의료 수가체계 전면개편
0.03352084643571335,0.12252009333011075,0.841856408690386,0.0010426621604031113,0.0010599893833867693,2,1,2024-03-18,3월 스마트해법 수학 창원지사 교육
0.001166061439973855,0.3262741280210545,0.0011849507668805503,0.5749590427372301,0.09641581703486113,3,1,2024-03-20,의대 2000명 증원 확정 발표 의사들 반응은 의대증원반대 정부의대증원 의료계주장
0.0025483074925853454,0.0025274566530369994,0.9898529557209574,0.0025565221550565317,0.002514757978363597,2,1,2024-03-20,2025 의대 증원 배정 결과 충북대 151명 경상국립대 124명 가천대 90명 등 증원
0.0022152149968325584,0.14455480872452184,0.5897060519729909,0.261350387431655,0.0021735368739996784,2,1,2024-03-20,의대 증원 2000명 확정 2024 3 20
0.0818460400912957,0.00204976446233226,0.9120291606394528,0.0020198046585112677,0.0020552301484079746,2,1,2024-03-20,의대증원 세특주제추천 세특예시 생명공학주제 생명공학 세특
0.9968595978170361,0.0007838293148600451,0.0007930399576595425,0.0007810138190732183,0.0007825190913710496,0,1,2024-03-20,경제 신문 읽기 20240320 의대 증원 서울 0명 경인 361명 비수도권 1639명 배정
0.011293591398432574,0.000986690544225821,0.22942132324703837,0.7573314941656579,0.0009669006446452499,3,1,2024-03-20,의대 증원 지역인재전형 배분 규모 비수도권 배정 신청 결과
0.004474858359138123,0.06079462234031502,0.9258109508935388,0.0044676465216587575,0.004451921885349114,2,1,2024-03-20,의대증원 진짜 하네
0.0025468253194462554,0.002533504171291373,0.932950507570577,0.059452714724557924,0.0025164482141276324,2,1,2024-03-20,의대 증원 배분 2000명 3월20일 발표 의대수도권비율 의대비수도권비율 의대정원수
0.00211388010207251,0.0021225595486684037,0.9915312805281683,0.002113750848101299,0.002118528972989545,2,1,2024-03-20,2025학년도 의대 증원 결과 대학교별 정원 알아봐요
0.022805427166563426,0.10090589520042255,0.7277470580742489,0.002848550660786029,0.14569306889797898,2,1,2024-03-20,2025년 입학 의대 증원 2000명 대학별 배정발표 서울 지역격차 해소
0.0010424967628270723,0.0010424747894345755,0.9958072366777564,0.0010435992242356917,0.0010641925457462592,2,1,2024-03-20,2025 의대 증원 의대 진학 희망 초등학생 중학생의 전략
0.000982945810216729,0.25954546977880033,0.4871756258085197,0.251324674289264,0.0009712843131990369,2,1,2024-03-20,의대 정원 발표 충북 의대 4배 미니의대 2 3배 지역거점 국립대 200명 서울권 의대 증원 0명 의료개혁
0.0008694077998660528,0.0008681026685377795,0.826966988698014,0.1704215442197909,0.000873956613791344,2,1,2024-03-20,의대 2000명 증원 서울 0 지방 1639명 경기인천 361명
0.5634769700612565,0.0018590060525094244,0.19638579871544545,0.23642927111480086,0.0018489540559877918,0,1,2024-03-20,지방 학군지 전세가가 오르는 소리가 들린다 2025년 의대 정원 2 000명 증원
0.037489880014838765,0.002342950922401284,0.8156870977448454,0.14215315235366324,0.00232691896425128,2,1,2024-03-20,2025 입시 의대증원 2000명 서울 0명 수도권 361명 비수도권 1639명 충북대 151명 최다
0.12113415029760892,0.0011348926159228407,0.0011527188982353774,0.8754515764984367,0.0011266616897961537,3,1,2024-03-20,의대 증원 반대 이유와 따라 오는 부작용
0.005222577382054305,0.0051938196344819745,0.6080026373829956,0.37639901562605443,0.00518194997441351,2,1,2024-03-20,의사증원 의대 증원 대학별 최종 인원
0.0006486219628229259,0.0006316243656490065,0.427991379191636,0.5700932530699024,0.000635121409989666,3,1,2024-03-20,의대 증원 배정안 발표 서울권 0 명 충격 지방의대 2 4배까지 증원
0.03327276423558186,0.00029267034916736107,0.00029351601284035623,0.9447564887002411,0.021384560702169368,3,1,2024-03-19,NICU 의료체계 개선 의견 말씀드립니다
0.0013511496262898022,0.0013469072994906613,0.1109351979626987,0.0827602769778862,0.8036064681336346,4,1,2024-03-19,44 I don t wanna tiptoe but I don t wanna hide
0.02575617816122173,0.4443027379784044,0.526696348778307,0.0016252361586198219,0.0016194989234471454,2,1,2024-03-19,김영환 지사 충북 300명 이상 의대정원 확대돼야 격차 해소
