,doc_freq,max_section_mean_tfidf,mean_section_mean_tfidf,sticky_score
특성,448,0.0017687527997340543,0.0015308285730584919,161.80570545807902
진입,459,0.001837367312471262,0.0015338397878043176,161.76967923135223
업체,586,0.002623231695873546,0.0022680718969930254,161.73406759147866
기록,1118,0.005924085899075265,0.004013000138357204,161.46535676995467
충격,428,0.001654634831641534,0.001562315007307021,161.22744827217522
안정,1059,0.005576479450966883,0.004204111750500814,161.0284055315195
완화,624,0.0028789799615767594,0.0024564570946335102,160.8670336482871
완전,395,0.0014575176296463717,0.0013982898678220747,160.73129862219508
가족,1077,0.0057011952148183125,0.00431042596581933,160.71759820075624
과거,737,0.003589380834097915,0.0027234551652246444,160.58811125986327
효율,474,0.001955337911563657,0.001598687822005303,160.3877506343119
소리,1045,0.005528969679247015,0.0047747774576795896,160.05588191374778
이익,1004,0.005274656614620722,0.004133822166671601,160.0087561222962
성장,883,0.004523946761325864,0.003883278193643992,159.84947685992205
예전,665,0.0031678000862467703,0.0029896911633350166,159.55659730283574
고민,1400,0.007778920000384976,0.006313380650115799,159.47291921313862
유명,432,0.001712734914395104,0.0016192741913683773,159.24888115959868
의견,2096,0.012167488221833209,0.009505813806486149,159.1799411314142
경쟁력,464,0.0019163620100511888,0.0017489598503550433,159.1023331125671
연결,487,0.0020680075168765296,0.0018353160087990392,158.73494354922698
최선,723,0.0035558057836110476,0.00272477856873934,158.69860005905076
직전,411,0.001590935891233995,0.0011926786913007135,158.6299380816603
진단,559,0.00252882577209503,0.0021960789955678345,158.40963428130004
구분,446,0.0018196145823505716,0.001494233013875842,158.17764697052746
소개,621,0.002928783114667049,0.0020918117376185355,158.06421018296084
능력,1113,0.00605652368409925,0.004567216539136641,157.726389058676
보호,621,0.002938788002843982,0.0024458947688350057,157.662712375383
통합,793,0.004032431112102191,0.003691164279229823,157.57791459737265
요청,767,0.0038680998912816503,0.003046527809610353,157.5563396662487
